,Question,History2,Rewrite
10,How do I build a cheap driveway?,,How do I build a cheap driveway?
11,Which is cheaper: concrete or asphalt?,How do I build a cheap driveway?,Which is cheaper way to build a driveway: concrete or asphalt?
12,Really?  What type of product?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt?,What type of de-icing product can damage concrete driveways?
13,Who knew?  Which is more environmentally friendly?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt? | What type of de-icing product can damage concrete driveways?,Which type of driveway is more environmentally friendly?
14,No.  Which type of driveway is better for the environment?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt? | What type of de-icing product can damage concrete driveways? | Which type of driveway is more environmentally friendly?,No. Which type of driveway is better for the environment?
15,And most low-maintenance?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt? | What type of de-icing product can damage concrete driveways? | Which type of driveway is more environmentally friendly? | No. Which type of driveway is better for the environment?,Which type of driveway is the most low-maintenance?
16,Really? What about asphalt?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt? | What type of de-icing product can damage concrete driveways? | Which type of driveway is more environmentally friendly? | No. Which type of driveway is better for the environment? | Which type of driveway is the most low-maintenance?,Really? How long does an asphalt driveway last?
17,Is sealing worth it?,How do I build a cheap driveway? | Which is cheaper way to build a driveway: concrete or asphalt? | What type of de-icing product can damage concrete driveways? | Which type of driveway is more environmentally friendly? | No. Which type of driveway is better for the environment? | Which type of driveway is the most low-maintenance? | Really? How long does an asphalt driveway last?,Is sealing an asphalt driveway worth it?
18,How can fires help an ecosystem?,,How can fires help an ecosystem?
19,Give me some examples.,How can fires help an ecosystem?,Give me some examples of organisms that have adapted to exploit natural wildfire.
20,Cool name!  What are other fire-followers?,How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire.,Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?
21,"Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?",How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire. | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?,Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?
22,Can it cause desertification?,How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire. | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?,Can agriculture cause desertification?
23,What does it mean to be tired?,How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire. | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? | Can agriculture cause desertification?,What does it mean for soil to be tired?
24,That sounds like organic farming.  How are they related?,How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire. | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? | Can agriculture cause desertification? | What does it mean for soil to be tired?,"Permaculture sounds like organic farming, how are they related?"
25,"Does organic farming reduce global warming, and if so, how?","How can fires help an ecosystem? | Give me some examples of organisms that have adapted to exploit natural wildfire. | Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? | Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? | Can agriculture cause desertification? | What does it mean for soil to be tired? | Permaculture sounds like organic farming, how are they related?","Does organic farming reduce global warming, and if so, how?"
26,Why do cats eat plastic?,,Why do cats eat plastic?
27,Will it kill him?,Why do cats eat plastic?,Will eating plastic kill a cat?
28,What?  No.  Will eating plastic kill my cat?,Why do cats eat plastic? | Will eating plastic kill a cat?,What?  No. Will eating plastic kill my cat?
29,How do I get him to stop?,Why do cats eat plastic? | Will eating plastic kill a cat? | What?  No. Will eating plastic kill my cat?,How do I get a cat to stop eating plastic?
30,Should I get a second one?,Why do cats eat plastic? | Will eating plastic kill a cat? | What?  No. Will eating plastic kill my cat? | How do I get a cat to stop eating plastic?,Should I get a second cat to ease my cat’s boredom or loneliness?
31,What are his desires?,Why do cats eat plastic? | Will eating plastic kill a cat? | What?  No. Will eating plastic kill my cat? | How do I get a cat to stop eating plastic? | Should I get a second cat to ease my cat’s boredom or loneliness?,What are my cat’s desires?
32,What does the slow blink mean?,Why do cats eat plastic? | Will eating plastic kill a cat? | What?  No. Will eating plastic kill my cat? | How do I get a cat to stop eating plastic? | Should I get a second cat to ease my cat’s boredom or loneliness? | What are my cat’s desires?,What does a cat’s slow blink mean?
33,What are the benefits of cow milk?,,What are the benefits of cow milk?
34,What about an alternative. I’ve heard it's also made from almonds?,What are the benefits of cow milk?,What about an alternative. How is milk made from almonds?
35,Which is healthiest?,What are the benefits of cow milk? | What about an alternative. How is milk made from almonds?,"Which of the milk options (almond, oat, hemp or rice milk) is the healthiest?"
36,"No, the vegan ones. Which of those alternatives is healthiest?","What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest?","No, the vegan ones. Which of the vegan alternative milk options is healthiest?"
37,Can I make it at home?,"What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest?",Can I make soy milk at home?
38,Oat seems popular now.  Why?,"What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | Can I make soy milk at home?",Oat seems popular now.  Why?
39,I’m going to bake some cookies. Which one would be the best to use?,"What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | Can I make soy milk at home? | Oat seems popular now.  Why?",I’m going to bake some cookies. Which vegan milk is best for baking cookies?
40,What would be second best?,"What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | Can I make soy milk at home? | Oat seems popular now.  Why? | I’m going to bake some cookies. Which vegan milk is best for baking cookies?",Which vegan milk besides soy is best for baking?
41,What is the best in my morning latte?,"What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | Can I make soy milk at home? | Oat seems popular now.  Why? | I’m going to bake some cookies. Which vegan milk is best for baking cookies? | Which vegan milk besides soy is best for baking?",What vegan milk is best in my morning latte?
42,"I didn’t expect that. Really, hemp? Say more.","What are the benefits of cow milk? | What about an alternative. How is milk made from almonds? | Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? | No, the vegan ones. Which of the vegan alternative milk options is healthiest? | Can I make soy milk at home? | Oat seems popular now.  Why? | I’m going to bake some cookies. Which vegan milk is best for baking cookies? | Which vegan milk besides soy is best for baking? | What vegan milk is best in my morning latte?","I didn’t expect that. Really, hemp? Say more about hemp milk for coffee."
43,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?",,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?"
44,What is the first based on?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?",What is Hennessey Venom GT based on?
45,How fast can the unmodified base car go?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on?",How fast can the unmodified base Lotus Elise/Exige go?
46,"No, I meant the Lotus.","I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go?",How fast can the Lotus Elise/Exige go?
47,Can any go over 300 mph?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go?",Can any super car go over 300 mph?
48,What is the origin of funny cars? Why do they call them that?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph?",What is the origin of funny cars? Why do they call them funny cars?
49,How fast did it go?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph? | What is the origin of funny cars? Why do they call them funny cars?",How fast did the first funny car go?
50,"No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom?","I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph? | What is the origin of funny cars? Why do they call them funny cars? | How fast did the first funny car go?","No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT?"
51,It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph? | What is the origin of funny cars? Why do they call them funny cars? | How fast did the first funny car go? | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT?",It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones?
52,I heard they’ve been working on something even faster.,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph? | What is the origin of funny cars? Why do they call them funny cars? | How fast did the first funny car go? | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? | It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones?",I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode.
53,Is the Roadster related to the other super cars we’ve talked about?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? | What is Hennessey Venom GT based on? | How fast can the unmodified base Lotus Elise/Exige go? | How fast can the Lotus Elise/Exige go? | Can any super car go over 300 mph? | What is the origin of funny cars? Why do they call them funny cars? | How fast did the first funny car go? | No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? | It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? | I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode.","Is the Tesla Roadster related to the other super cars, like the Hennessey Venom GT or Lotus Elise?"
54,What’s the history of steroid use in sports in the US?,,Utterance: What’s the history of steroid use in sports in the US?
55,What were Ziegler’s improvements?,Utterance: What’s the history of steroid use in sports in the US?,Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes?
56,Why are they banned?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes?,Why are steroids banned in sports?
57,Are there visible signs?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports?,Are there visible signs that someone is using steroids?
58,That sounds easy to spot.  How do they get away with it?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids?,That sounds easy to spot. How do athletes get away with using steroids?
59,What is the NFL policy?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids?,What is the NFL policy about steroids?
60,Isn’t that speed?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids? | What is the NFL policy about steroids?,Is Adderall Speed?
61,What is the difference between the two policies?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids? | What is the NFL policy about steroids? | Is Adderall Speed?,What is the difference between the NFL’s recreational drug and performance enhancing drug policies?
62,I heard it even affects card players. Didn't bridge also have a problem?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids? | What is the NFL policy about steroids? | Is Adderall Speed? | What is the difference between the NFL’s recreational drug and performance enhancing drug policies?,I heard it even affects card players. Didn't the game of bridge also have a problem with drug use?
63,I know what bridge is. I heard there was a drug scandal recently.,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids? | What is the NFL policy about steroids? | Is Adderall Speed? | What is the difference between the NFL’s recreational drug and performance enhancing drug policies? | I heard it even affects card players. Didn't the game of bridge also have a problem with drug use?,I know what bridge is. I heard there was a drug scandal in bridge recently.
64,Does the article have more about it?,Utterance: What’s the history of steroid use in sports in the US? | Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? | Why are steroids banned in sports? | Are there visible signs that someone is using steroids? | That sounds easy to spot. How do athletes get away with using steroids? | What is the NFL policy about steroids? | Is Adderall Speed? | What is the difference between the NFL’s recreational drug and performance enhancing drug policies? | I heard it even affects card players. Didn't the game of bridge also have a problem with drug use? | I know what bridge is. I heard there was a drug scandal in bridge recently.,Tell me more about the suspension of Geir Helgemo for doping by the World Bridge Federation.
65,How do genes work?,,How do genes work?
66,What other diseases are caused by a single change?,How do genes work?,What diseases besides sickle cell anemia are caused by single change in a gene?
67,What are the other types of diseases?,How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene?,What are the other types of human genetic diseases besides monogenic?
68,You missed the second type of disease.  What was that?,How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic?,You missed the second type of genetic disease.  What was that?
69,That’s not what I wanted. How about recent developments in gene therapy to treat those defects?,How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that?,That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome?
70,What are they worried about?,How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome?,What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?
71,"No, I meant in humans.",How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?,"No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?"
72,It sounds like it could be used in many places. What other types of organisms has it been tried on?,"How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells?","It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on?"
73,I’ve heard a lot about RNA recently. Can it be used to edit that too?,"How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on?",I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA?
74,What’s the difference between the types you mentioned?,"How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA?",What’s the difference between the CRISPR CRISPRi and CAS13b systems?
75,"That’s too basic, I’d like a more scientific explanation.","How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? | What’s the difference between the CRISPR CRISPRi and CAS13b systems?","That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems?"
76,The developments sound exciting. What are the commercial issues using it?,"How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? | What’s the difference between the CRISPR CRISPRi and CAS13b systems? | That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems?",The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases?
77,What are the alternatives to avoid licensing issues?,"How do genes work? | What diseases besides sickle cell anemia are caused by single change in a gene? | What are the other types of human genetic diseases besides monogenic? | You missed the second type of genetic disease.  What was that? | That’s not what I wanted. How about recent developments in gene therapy to treat chromosome defects that cause Down Syndrome? | What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | No, What long-term effects are researchers worried about with CRISPR editing in human germ-line cells? | It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on? | I’ve heard a lot about RNA recently. Can CRISPR be used to edit RNA? | What’s the difference between the CRISPR CRISPRi and CAS13b systems? | That’s too basic, I’d like a more scientific explanation. What’s the difference between the CRISPR-CAS9 and CRISPR-CAS13 systems? | The developments sound exciting. What are the commercial issues using CRISPR for genetic diseases?",What are the alternatives to CRISPR-CAS9 to avoid patent licensing issues?
78,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?,,I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?
79,"How about my diet, what should I consider changing?",I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next?,"How about my diet, what should I consider changing to increase my iron?"
80,"No, I meant to help my ferritin specifically.","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron?","No, I meant what should I consider changing in my diet to help my ferritin levels specifically."
81,What is the difference between the two types?,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically.",What is the difference between heme and non-heme iron?
82,"I’m vegetarian. So, what can I do to improve it and increase my levels?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. | What is the difference between heme and non-heme iron?",I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin?
83,I heard eating eggs might help.,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. | What is the difference between heme and non-heme iron? | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin?",I heard eating eggs might help improve my ferritin levels.
84,I’m also a woman over 50. How many do I need to eat to get the recommended amount?,"I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. | What is the difference between heme and non-heme iron? | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? | I heard eating eggs might help improve my ferritin levels.",I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet?
85,"I’m starting to train for a marathon, what should I consider?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. | What is the difference between heme and non-heme iron? | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? | I heard eating eggs might help improve my ferritin levels. | I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet?","I’m starting to train for a marathon, what should I consider in my vegetarian diet?"
86,"No, I’m starting to train for a marathon, what is a one week diet?","I’m a runner and I’ve been feeling tired. My doctor said my ferritin count is slightly low. What should I do next? | How about my diet, what should I consider changing to increase my iron? | No, I meant what should I consider changing in my diet to help my ferritin levels specifically. | What is the difference between heme and non-heme iron? | I’m vegetarian. What can I do to improve absorption for non-heme iron and increase my level of ferritin? | I heard eating eggs might help improve my ferritin levels. | I’m a female vegetarian runner over 50. How many eggs do I need to eat to get the recommended amount of iron in my diet? | I’m starting to train for a marathon, what should I consider in my vegetarian diet?","No, I’m starting to train for a marathon, what is a one week vegetarian diet?"
87,How are mental health disorders perceived and addressed around the world?,,How are mental health disorders perceived and addressed around the world?
88,What are the causes of stigma in Africa?,How are mental health disorders perceived and addressed around the world?,What are the causes of mental health stigma in Africa?
89,Could you expand on some of these methods?,How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa?,Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues?
90,How effective are these methods and could they be combined with Western medicine?,How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues?,How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine?
91,"Okay. Now, what about the causes in Asia?",How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine?,"Okay. Now, what about the causes of mental health stigma in Asia?"
92,Is there a relationship between these values and mental illness in the region?,"How are mental health disorders perceived and addressed around the world? | What are the causes of mental health stigma in Africa? | Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues? | How effective are traditional African methods for treating mental health issues and could they be combined with Western medicine? | Okay. Now, what about the causes of mental health stigma in Asia?",Is there a relationship between Asian cultural values and mental illness?
