,Target,Source
3,Which type of driveway is more environmentally friendly?,"Query: Who knew?  Which is more environmentally friendly? |||| Context: What type of de-icing product can damage concrete driveways? ||| What Rock Salt is Safe for Concrete? ||| Which is cheaper way to build a driveway: concrete or asphalt? ||| When the time comes to install a new driveway, the biggest decision is whether to use concrete or asphalt. ||| How do I build a cheap driveway? |||  |||| Reformulation: "
4,No. Which type of driveway is better for the environment?,Query: No.  Which type of driveway is better for the environment? |||| Context: Which type of driveway is more environmentally friendly? ||| Which means eco-friendly and pet friendly claims abound. ||| What type of de-icing product can damage concrete driveways? ||| What Rock Salt is Safe for Concrete? ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: 
5,Which type of driveway is the most low-maintenance?,Query: And most low-maintenance? |||| Context: No. Which type of driveway is better for the environment? ||| These types of surfaces canalso be better for the environment and do not necessarily cost more or require a lot of maintenance. ||| Which type of driveway is more environmentally friendly? ||| Which means eco-friendly and pet friendly claims abound. ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: 
6,Really? How long does an asphalt driveway last?,"Query: Really? What about asphalt? |||| Context: Which type of driveway is the most low-maintenance? ||| A concrete driveway requires the second least amount of ongoing maintenance, compared to the other hard surface driveways. ||| No. Which type of driveway is better for the environment? ||| These types of surfaces canalso be better for the environment and do not necessarily cost more or require a lot of maintenance. ||| Which type of driveway is more environmentally friendly? |||  ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
7,Is sealing an asphalt driveway worth it?,"Query: Is sealing worth it? |||| Context: Really? How long does an asphalt driveway last? ||| Advantages of Asphalt Driveways Asphalt driveways offer a number of advantages including: Longevity – When an asphalt driveway is professionally installed and properly maintained it can last for up to 30 years before needing to be replaced. ||| Which type of driveway is the most low-maintenance? ||| A concrete driveway requires the second least amount of ongoing maintenance, compared to the other hard surface driveways. ||| No. Which type of driveway is better for the environment? |||  ||| Which type of driveway is more environmentally friendly? |||  ||| What type of de-icing product can damage concrete driveways? |||  ||| Which is cheaper way to build a driveway: concrete or asphalt? |||  ||| How do I build a cheap driveway? |||  |||| Reformulation: "
0,How can fires help an ecosystem?,Query: How can fires help an ecosystem? |||| Context:  |||| Reformulation: 
1,Give me some examples of organisms that have adapted to exploit natural wildfire.,"Query: Give me some examples. |||| Context: How can fires help an ecosystem? ||| Many ecosystems, particularly prairie, savanna, chaparral and coniferous forests, have evolved with fire as an essential contributor to habitat vitality and renewal. |||| Reformulation: "
2,Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires?,"Query: Cool name!  What are other fire-followers? |||| Context: Give me some examples of organisms that have adapted to exploit natural wildfire. ||| These annual plant species are sometimes called fire-followers because they are only seen in the first couple of years following a fire when they are a part of the dominant vegetation in a chaparral ecosystem. ||| How can fires help an ecosystem? ||| Many ecosystems, particularly prairie, savanna, chaparral and coniferous forests, have evolved with fire as an essential contributor to habitat vitality and renewal. |||| Reformulation: "
3,Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem?,"Query: Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture? |||| Context: Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? ||| The role of fire in the longleaf pine ecosystem was and still is today a key component in regeneration and shaping of the ecosystem. ||| Give me some examples of organisms that have adapted to exploit natural wildfire. ||| These annual plant species are sometimes called fire-followers because they are only seen in the first couple of years following a fire when they are a part of the dominant vegetation in a chaparral ecosystem. ||| How can fires help an ecosystem? |||  |||| Reformulation: "
4,Can agriculture cause desertification?,"Query: Can it cause desertification? |||| Context: Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? ||| That agriculture has a huge effect on our ecosystems: pesticides and other toxic chemicals used in food production can wash downstream, killing many types of animals, polluting our waterways and even making humans ill. ||| Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? ||| The role of fire in the longleaf pine ecosystem was and still is today a key component in regeneration and shaping of the ecosystem. ||| Give me some examples of organisms that have adapted to exploit natural wildfire. |||  ||| How can fires help an ecosystem? |||  |||| Reformulation: "
5,What does it mean for soil to be tired?,"Query: What does it mean to be tired? |||| Context: Can agriculture cause desertification? ||| desertification - soils need time to rest between crops but pressures to provide food and an income often lead to soil and land being over used and becoming tired. ||| Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? ||| That agriculture has a huge effect on our ecosystems: pesticides and other toxic chemicals used in food production can wash downstream, killing many types of animals, polluting our waterways and even making humans ill. ||| Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? |||  ||| Give me some examples of organisms that have adapted to exploit natural wildfire. |||  ||| How can fires help an ecosystem? |||  |||| Reformulation: "
6,"Permaculture sounds like organic farming, how are they related?","Query: That sounds like organic farming.  How are they related? |||| Context: What does it mean for soil to be tired? ||| It includes ""permaculture"", originally being a combination of the words ""permanent"" and ""agriculture"", which is a systems thinking approach that can increase the carbon content of soil by using natural patterns in already existing ecosystems to promote a higher efficiency of food production, a lower need for human involvement, and a healthier ecosystem. ||| Can agriculture cause desertification? ||| desertification - soils need time to rest between crops but pressures to provide food and an income often lead to soil and land being over used and becoming tired. ||| Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? |||  ||| Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? |||  ||| Give me some examples of organisms that have adapted to exploit natural wildfire. |||  ||| How can fires help an ecosystem? |||  |||| Reformulation: "
7,"Does organic farming reduce global warming, and if so, how?","Query: Does organic farming reduce global warming, and if so, how? |||| Context: Permaculture sounds like organic farming, how are they related? ||| From individual homes to entire bio-regions, Permaculture has the potential to repair damaged landscapes, build capacity in communities and replace apathy with self empowerment. ||| What does it mean for soil to be tired? ||| It includes ""permaculture"", originally being a combination of the words ""permanent"" and ""agriculture"", which is a systems thinking approach that can increase the carbon content of soil by using natural patterns in already existing ecosystems to promote a higher efficiency of food production, a lower need for human involvement, and a healthier ecosystem. ||| Can agriculture cause desertification? |||  ||| Let’s talk about other environmental influences besides fire. How does agriculture affect an ecosystem? |||  ||| Cool name! What are other organisms besides whispering bells that have adapted to exploit natural wildfires? |||  ||| Give me some examples of organisms that have adapted to exploit nat |||| Reformulation: "
0,Why do cats eat plastic?,Query: Why do cats eat plastic? |||| Context:  |||| Reformulation: 
1,Will eating plastic kill a cat?,"Query: Will it kill him? |||| Context: Why do cats eat plastic? ||| Cats have been observed to start by chewing and sucking on non-nutritive substances like wool, cotton, rubber, plastic and even cardboard and then progress into ingestion of these substances. |||| Reformulation: "
2,What?  No. Will eating plastic kill my cat?,"Query: What?  No.  Will eating plastic kill my cat? |||| Context: Will eating plastic kill a cat? |||  ||| Why do cats eat plastic? ||| Cats have been observed to start by chewing and sucking on non-nutritive substances like wool, cotton, rubber, plastic and even cardboard and then progress into ingestion of these substances. |||| Reformulation: "
3,How do I get a cat to stop eating plastic?,"Query: How do I get him to stop? |||| Context: What?  No. Will eating plastic kill my cat? ||| Other than its destructive potential, pica can be extremely hazardous to your cat's health if non-food items are consumed. ||| Will eating plastic kill a cat? |||  ||| Why do cats eat plastic? |||  |||| Reformulation: "
4,Should I get a second cat to ease my cat’s boredom or loneliness?,"Query: Should I get a second one? |||| Context: How do I get a cat to stop eating plastic? ||| You can ease a cat’s boredom by providing environmental enrichment. ||| What?  No. Will eating plastic kill my cat? ||| Other than its destructive potential, pica can be extremely hazardous to your cat's health if non-food items are consumed. ||| Will eating plastic kill a cat? |||  ||| Why do cats eat plastic? |||  |||| Reformulation: "
5,What are my cat’s desires?,"Query: What are his desires? |||| Context: Should I get a second cat to ease my cat’s boredom or loneliness? ||| If you think a second pet will help alleviate loneliness, boredom or behavior problems with your resident pet, think again. ||| How do I get a cat to stop eating plastic? ||| You can ease a cat’s boredom by providing environmental enrichment. ||| What?  No. Will eating plastic kill my cat? |||  ||| Will eating plastic kill a cat? |||  ||| Why do cats eat plastic? |||  |||| Reformulation: "
6,What does a cat’s slow blink mean?,"Query: What does the slow blink mean? |||| Context: What are my cat’s desires? ||| It helps your cat feel secure in their environment and around people as they are left alone often during the day. ||| Should I get a second cat to ease my cat’s boredom or loneliness? ||| If you think a second pet will help alleviate loneliness, boredom or behavior problems with your resident pet, think again. ||| How do I get a cat to stop eating plastic? |||  ||| What?  No. Will eating plastic kill my cat? |||  ||| Will eating plastic kill a cat? |||  ||| Why do cats eat plastic? |||  |||| Reformulation: "
0,What are the benefits of cow milk?,Query: What are the benefits of cow milk? |||| Context:  |||| Reformulation: 
1,What about an alternative. How is milk made from almonds?,"Query: What about an alternative. I’ve heard it's also made from almonds? |||| Context: What are the benefits of cow milk? ||| Cow milk seems to be everywhere and is often taken for granted, but it has many important health benefits, including its ability to aid in weight loss, build strong bones and teeth, boost the immune system, reduce fat, protect the heart, prevent diabetes, eliminate inflammation, and help stimulate growth. |||| Reformulation: "
2,"Which of the milk options (almond, oat, hemp or rice milk) is the healthiest?","Query: Which is healthiest? |||| Context: What about an alternative. How is milk made from almonds? ||| Note that you can make almond milk at home – an easy process, requiring only organic raw almonds, water and a little sugar or other sweetener. ||| What are the benefits of cow milk? ||| Cow milk seems to be everywhere and is often taken for granted, but it has many important health benefits, including its ability to aid in weight loss, build strong bones and teeth, boost the immune system, reduce fat, protect the heart, prevent diabetes, eliminate inflammation, and help stimulate growth. |||| Reformulation: "
3,"No, the vegan ones. Which of the vegan alternative milk options is healthiest?","Query: No, the vegan ones. Which of those alternatives is healthiest? |||| Context: Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? ||| Why Whole Milk is the Healthiest Choicetweet email 227By: Experience Life August 31, 2009About Experience Life Follow Experience Life at @ ||| What about an alternative. How is milk made from almonds? ||| Note that you can make almond milk at home – an easy process, requiring only organic raw almonds, water and a little sugar or other sweetener. ||| What are the benefits of cow milk? |||  |||| Reformulation: "
4,Can I make soy milk at home?,"Query: Can I make it at home? |||| Context: No, the vegan ones. Which of the vegan alternative milk options is healthiest? ||| There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? ||| Why Whole Milk is the Healthiest Choicetweet email 227By: Experience Life August 31, 2009About Experience Life Follow Experience Life at @ ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
5,Oat seems popular now.  Why?,"Query: Oat seems popular now.  Why? |||| Context: Can I make soy milk at home? ||| Ordinary methods for making soy milk at home are often very labor-intensive (requiring beans to be soaked, ground in a blender, strained, and then cooked). ||| No, the vegan ones. Which of the vegan alternative milk options is healthiest? ||| There are a ton of nondairy milks to choose from, but which one is the healthiest?»RELATED: Milk in the fridge? ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? |||  ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
6,I’m going to bake some cookies. Which vegan milk is best for baking cookies?,"Query: I’m going to bake some cookies. Which one would be the best to use? |||| Context: Oat seems popular now.  Why? ||| Oat milk ||| Can I make soy milk at home? ||| Ordinary methods for making soy milk at home are often very labor-intensive (requiring beans to be soaked, ground in a blender, strained, and then cooked). ||| No, the vegan ones. Which of the vegan alternative milk options is healthiest? |||  ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? |||  ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
7,Which vegan milk besides soy is best for baking?,"Query: What would be second best? |||| Context: I’m going to bake some cookies. Which vegan milk is best for baking cookies? ||| That means that soy milk is also the best choice when making vegan buttermilk for Vegan Buttermilk Biscuits or for dredging to make breaded dishes like “Chicken-Fried” Tofu Steaks. ||| Oat seems popular now.  Why? ||| Oat milk ||| Can I make soy milk at home? |||  ||| No, the vegan ones. Which of the vegan alternative milk options is healthiest? |||  ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? |||  ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
8,What vegan milk is best in my morning latte?,"Query: What is the best in my morning latte? |||| Context: Which vegan milk besides soy is best for baking? ||| If you're still concerned or allergic to soy then it's great that we now have hemp milk as a soy-free alternative. ||| I’m going to bake some cookies. Which vegan milk is best for baking cookies? ||| That means that soy milk is also the best choice when making vegan buttermilk for Vegan Buttermilk Biscuits or for dredging to make breaded dishes like “Chicken-Fried” Tofu Steaks. ||| Oat seems popular now.  Why? |||  ||| Can I make soy milk at home? |||  ||| No, the vegan ones. Which of the vegan alternative milk options is healthiest? |||  ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? |||  ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
9,"I didn’t expect that. Really, hemp? Say more about hemp milk for coffee.","Query: I didn’t expect that. Really, hemp? Say more. |||| Context: What vegan milk is best in my morning latte? ||| Hemp is conducive to being organically grown and labeled. ||| Which vegan milk besides soy is best for baking? ||| If you're still concerned or allergic to soy then it's great that we now have hemp milk as a soy-free alternative. ||| I’m going to bake some cookies. Which vegan milk is best for baking cookies? |||  ||| Oat seems popular now.  Why? |||  ||| Can I make soy milk at home? |||  ||| No, the vegan ones. Which of the vegan alternative milk options is healthiest? |||  ||| Which of the milk options (almond, oat, hemp or rice milk) is the healthiest? |||  ||| What about an alternative. How is milk made from almonds? |||  ||| What are the benefits of cow milk? |||  |||| Reformulation: "
0,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?","Query: I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||| Context:  |||| Reformulation: "
1,What is Hennessey Venom GT based on?,"Query: What is the first based on? |||| Context: I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? ||| The Guinness World record for the fastest car is held by the Bugatti Veyron Super Sport (second car in our list) at 269.86mph. |||| Reformulation: "
2,How fast can the unmodified base Lotus Elise/Exige go?,"Query: How fast can the unmodified base car go? |||| Context: What is Hennessey Venom GT based on? ||| The Venom GT utilizes a heavily modified Lotus Elise/Exige chassis. ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? ||| The Guinness World record for the fastest car is held by the Bugatti Veyron Super Sport (second car in our list) at 269.86mph. |||| Reformulation: "
3,How fast can the Lotus Elise/Exige go?,"Query: No, I meant the Lotus. |||| Context: How fast can the unmodified base Lotus Elise/Exige go? ||| The Venom GT is capable of 0-60 mph in less than 2.4 seconds and has been tested from 0-200 mph in less than 13 seconds. ||| What is Hennessey Venom GT based on? ||| The Venom GT utilizes a heavily modified Lotus Elise/Exige chassis. ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
4,Can any super car go over 300 mph?,"Query: Can any go over 300 mph? |||| Context: How fast can the Lotus Elise/Exige go? ||| It can sprint from 0 to 60 mph (97 km/h) in 3.5 seconds and has a top speed of 178 mph (286 km/h). ||| How fast can the unmodified base Lotus Elise/Exige go? ||| The Venom GT is capable of 0-60 mph in less than 2.4 seconds and has been tested from 0-200 mph in less than 13 seconds. ||| What is Hennessey Venom GT based on? |||  ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
5,What is the origin of funny cars? Why do they call them funny cars?,"Query: What is the origin of funny cars? Why do they call them that? |||| Context: Can any super car go over 300 mph? ||| Funny cars are basically top fuel dragsters with a body over the chassis. ||| How fast can the Lotus Elise/Exige go? ||| It can sprint from 0 to 60 mph (97 km/h) in 3.5 seconds and has a top speed of 178 mph (286 km/h). ||| How fast can the unmodified base Lotus Elise/Exige go? |||  ||| What is Hennessey Venom GT based on? |||  ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
6,How fast did the first funny car go?,"Query: How fast did it go? |||| Context: What is the origin of funny cars? Why do they call them funny cars? ||| The first Funny Cars showed up in the mid 1960s, how have they changed in the last half century? ||| Can any super car go over 300 mph? ||| Funny cars are basically top fuel dragsters with a body over the chassis. ||| How fast can the Lotus Elise/Exige go? |||  ||| How fast can the unmodified base Lotus Elise/Exige go? |||  ||| What is Hennessey Venom GT based on? |||  ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
7,"No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT?","Query: No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom? |||| Context: How fast did the first funny car go? ||| The Roadster's acceleration time is 3.9 seconds for the Standard model and 3.7 seconds for the 2010 V2.5 Sport, which ""Motor Trend"" confirmed in the first independent, instrumented testing the Sport. ||| What is the origin of funny cars? Why do they call them funny cars? ||| The first Funny Cars showed up in the mid 1960s, how have they changed in the last half century? ||| Can any super car go over 300 mph? |||  ||| How fast can the Lotus Elise/Exige go? |||  ||| How fast can the unmodified base Lotus Elise/Exige go? |||  ||| What is Hennessey Venom GT based on? |||  ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
8,It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones?,"Query: It sounds like the Tesla is very competitive.  What makes its engine unique compared with gas ones? |||| Context: No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? ||| Compared to the Bugatti Veyron, which has an acceleration speed from 0 – 60 mph in 2.6 seconds with a top speed of 253 mph, the Hennessey Venom GT may be the “Veyron-killer”. ||| How fast did the first funny car go? ||| The Roadster's acceleration time is 3.9 seconds for the Standard model and 3.7 seconds for the 2010 V2.5 Sport, which ""Motor Trend"" confirmed in the first independent, instrumented testing the Sport. ||| What is the origin of funny cars? Why do they call them funny cars? |||  ||| Can any super car go over 300 mph? |||  ||| How fast can the Lotus Elise/Exige go? |||  ||| How fast can the unmodified base Lotus Elise/Exige go? |||  ||| What is Hennessey Venom GT based on? |||  ||| I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car? |||  |||| Reformulation: "
9,I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode.,"Query: I heard they’ve been working on something even faster. |||| Context: It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? ||| The unique properties of an electric motor give it a huge advantage over a combustion engine in terms of torque, force that tends to rotate or turn things, and power band, the range of operating speeds under which the engine operates efficiently. ||| No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? ||| Compared to the Bugatti Veyron, which has an acceleration speed from 0 – 60 mph in 2.6 seconds with a top speed of 253 mph, the Hennessey Venom GT may be the “Veyron-killer”. ||| How fast did the first funny car go? |||  ||| What is the origin of funny cars? Why do they call them funny cars? |||  ||| Can any super car go over 300 mph? |||  ||| How fast can the Lotus Elise/Exige go? |||  ||| How fast can the unmodified base Lotus Elise/Exige go? |||  ||| What is  |||| Reformulation: "
10,"Is the Tesla Roadster related to the other super cars, like the Hennessey Venom GT or Lotus Elise?","Query: Is the Roadster related to the other super cars we’ve talked about? |||| Context: I’ve heard Tesla’s been working on a new car that is faster than ludicrous mode. ||| For gearheads, he noted the three-motor Roadster will turn out an unprecedented 7,376 pound-feet of torque, more than a diesel 18-wheeler, and 10 times what even some of the world’s most powerful gas sports cars can manage. ||| It sounds like the Tesla is very competitive.  What makes its electric engine unique compared with gas ones? ||| The unique properties of an electric motor give it a huge advantage over a combustion engine in terms of torque, force that tends to rotate or turn things, and power band, the range of operating speeds under which the engine operates efficiently. ||| No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT? |||  ||| How fast did the first funny car go? |||  ||| What is the origin of funny cars? Why do they call them funny cars? |||  ||| Can any super car go over |||| Reformulation: "
0,Utterance: What’s the history of steroid use in sports in the US?,Query: What’s the history of steroid use in sports in the US? |||| Context:  |||| Reformulation: 
1,Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes?,"Query: What were Ziegler’s improvements? |||| Context: Utterance: What’s the history of steroid use in sports in the US? ||| After the war, athletes began to use steroids to enhance their performance in competitions. |||| Reformulation: "
2,Why are steroids banned in sports?,"Query: Why are they banned? |||| Context: Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? ||| It was banned by the Food and Drug Administration (FDA) under the Controlled Substances Act. ||| Utterance: What’s the history of steroid use in sports in the US? ||| After the war, athletes began to use steroids to enhance their performance in competitions. |||| Reformulation: "
3,Are there visible signs that someone is using steroids?,"Query: Are there visible signs? |||| Context: Why are steroids banned in sports? ||| With this attention, a few controversies arose, and these controversies lead to steroids being banned in some countries all over the world. ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? ||| It was banned by the Food and Drug Administration (FDA) under the Controlled Substances Act. ||| Utterance: What’s the history of steroid use in sports in the US? |||  |||| Reformulation: "
4,That sounds easy to spot. How do athletes get away with using steroids?,"Query: That sounds easy to spot.  How do they get away with it? |||| Context: Are there visible signs that someone is using steroids? ||| Warning Signs Of Steroid Use ||| Why are steroids banned in sports? ||| With this attention, a few controversies arose, and these controversies lead to steroids being banned in some countries all over the world. ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |||  ||| Utterance: What’s the history of steroid use in sports in the US? |||  |||| Reformulation: "
5,What is the NFL policy about steroids?,"Query: What is the NFL policy? |||| Context: That sounds easy to spot. How do athletes get away with using steroids? ||| “The athletes were instructed to swish the liquid around in their mouths, under the tongue, to absorb the drugs,” the Times writes. ||| Are there visible signs that someone is using steroids? ||| Warning Signs Of Steroid Use ||| Why are steroids banned in sports? |||  ||| Utterance: What were Ziegler’s improvements to the use of anabolic steroids in athletes? |||  ||| Utterance: What’s the history of steroid use in sports in the US? |||  |||| Reformulation: "
