,Target,Source
8,"Besides inventive flavors, what made Kogi successful?","Query: Besides inventive flavors, what made it successful? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? ||| What licenses and permits are needed? ||| What makes a good location? ||| What is a typical day like? ||| How can I run it successfully? ||| What are some good examples to learn from? |||| Reformulation: "
0,What is the climate like in Utah?,Query: What is the climate like in Utah? |||| Context:  |||| Reformulation: 
1,How does the climate of Salt Lake City differ from Utah overall?,Query: How does Salt Lake City differ? |||| Context: What is the climate like in Utah? |||| Reformulation: 
2,What is the main economic activity of Salt Lake City?,Query: What is its main economic activity? |||| Context: What is the climate like in Utah? ||| How does Salt Lake City differ? |||| Reformulation: 
3,What was the impact of the 2002 olympic winter games on the economy of Salt Lake City?,Query: What was the impact of the 2002 games? |||| Context: What is the climate like in Utah? ||| How does Salt Lake City differ? ||| What is its main economic activity? |||| Reformulation: 
4,What were important ski locations used in the 2002 olympic winter games?,Query: What were important ski locations used? |||| Context: What is the climate like in Utah? ||| How does Salt Lake City differ? ||| What is its main economic activity? ||| What was the impact of the 2002 games? |||| Reformulation: 
5,What are the important non-ski events that happen in Salt Lake City?,Query: What are the important non-ski events that happen in the city? |||| Context: What is the climate like in Utah? ||| How does Salt Lake City differ? ||| What is its main economic activity? ||| What was the impact of the 2002 games? ||| What were important ski locations used? |||| Reformulation: 
6,What are some popular non-winter things to do in the Salt Lake City area?,Query: What about some popular non-winter things to do in the area? |||| Context: What is the climate like in Utah? ||| How does Salt Lake City differ? ||| What is its main economic activity? ||| What was the impact of the 2002 games? ||| What were important ski locations used? ||| What are the important non-ski events that happen in the city? |||| Reformulation: 
0,What are the different types of orange trees?,Query: What are the different types of orange trees? |||| Context:  |||| Reformulation: 
1,How can you tell different types of orange trees apart?,Query: How can you tell them apart? |||| Context: What are the different types of orange trees? |||| Reformulation: 
2,What type of orange tree has thorns?,Query: What type has thorns? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? |||| Reformulation: 
3,Where do orange trees originally come from?,Query: Where do they originally come from? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? |||| Reformulation: 
4,Tell me about the Hamlin orange variety.,Query: Tell me about the Hamlin variety. |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? ||| Where do they originally come from? |||| Reformulation: 
5,Why did the Hamlin orange replace the Parson Brown variety?,Query: Why did it replace PB? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? ||| Where do they originally come from? ||| Tell me about the Hamlin variety. |||| Reformulation: 
6,What are the different types of navel oranges?,Query: What are the different types of navels? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? ||| Where do they originally come from? ||| Tell me about the Hamlin variety. ||| Why did it replace PB? |||| Reformulation: 
7,Which type of navel orange is the most delicious?,Query: Which is the most delicious? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? ||| Where do they originally come from? ||| Tell me about the Hamlin variety. ||| Why did it replace PB? ||| What are the different types of navels? |||| Reformulation: 
8,How do cara cara oranges compare with blood oranges?,Query: How do they compare with blood oranges? |||| Context: What are the different types of orange trees? ||| How can you tell them apart? ||| What type has thorns? ||| Where do they originally come from? ||| Tell me about the Hamlin variety. ||| Why did it replace PB? ||| What are the different types of navels? ||| Which is the most delicious? |||| Reformulation: 
0,Can I have some information on the labor systems of the Ottoman Empire?,Query: Can I have some information on the labor systems of the Ottoman Empire? |||| Context:  |||| Reformulation: 
1,What was the role of slavery in the labor system of the Ottoman Empire?,Query: What was the role of slavery? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? |||| Reformulation: 
2,How did the Ottoman Empire govern?,Query: How did it govern? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? |||| Reformulation: 
3,Why was the Ottoman Empire important?,Query: Why was it important? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? |||| Reformulation: 
4,What was the culture like in the Ottoman Empire?,Query: What was the culture like? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? |||| Reformulation: 
5,What was the role of storytellers in the culture of the Ottoman Empire?,Query: What was the role of storytellers? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? ||| What was the culture like? |||| Reformulation: 
6,What were popular stories told by meddahs in the Ottoman Empire?,Query: What were popular stories? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? ||| What was the culture like? ||| What was the role of storytellers? |||| Reformulation: 
7,What was the importance of the confessional millet system to the Ottoman Empire?,Query: What was the importance of the millet? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? ||| What was the culture like? ||| What was the role of storytellers? ||| What were popular stories? |||| Reformulation: 
8,Why did the British continue the confessional millet system from the Ottoman Empire?,Query: Why did the British continue it? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? ||| What was the culture like? ||| What was the role of storytellers? ||| What were popular stories? ||| What was the importance of the millet? |||| Reformulation: 
9,What is the historical importance of the confessional millet system in the development of national identities?,Query: What is its historical importance in developing national identities? |||| Context: Can I have some information on the labor systems of the Ottoman Empire? ||| What was the role of slavery? ||| How did it govern? ||| Why was it important? ||| What was the culture like? ||| What was the role of storytellers? ||| What were popular stories? ||| What was the importance of the millet? ||| Why did the British continue it? |||| Reformulation: 
0,What is the relationship between predator and prey?,Query: What is the relationship between predator and prey? |||| Context:  |||| Reformulation: 
1,What do predator plants eat?,Query: What do predator plants eat? |||| Context: What is the relationship between predator and prey? |||| Reformulation: 
2,What do Venus flytraps eat?,Query: What about Venus flytraps in particular? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? |||| Reformulation: 
3,Where is the Venus flytrap native to?,Query: Where is it native to? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? |||| Reformulation: 
4,How do Venus flytraps attract and catch their prey?,Query: How do they attract and catch their prey? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? |||| Reformulation: 
5,What other carnivorous plants are native to North and South Carolina?,Query: What are other similar plants from its native area? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? |||| Reformulation: 
6,How do populations of predators and prey relate?,Query: How do populations of predators and prey relate? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? ||| What are other similar plants from its native area? |||| Reformulation: 
7,Why would the roles of predator and prey reverse?,Query: Why would the roles reverse? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? ||| What are other similar plants from its native area? ||| How do populations of predators and prey relate? |||| Reformulation: 
8,How do predators and prey influence biodiversity?,Query: How does the relationship influence biodiversity? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? ||| What are other similar plants from its native area? ||| How do populations of predators and prey relate? ||| Why would the roles reverse? |||| Reformulation: 
9,What are examples of apex predators?,Query: What are examples of these predators? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? ||| What are other similar plants from its native area? ||| How do populations of predators and prey relate? ||| Why would the roles reverse? ||| How does the relationship influence biodiversity? |||| Reformulation: 
10,Why would humans be considered apex predators?,Query: Why would humans be considered one? |||| Context: What is the relationship between predator and prey? ||| What do predator plants eat? ||| What about Venus flytraps in particular? ||| Where is it native to? ||| How do they attract and catch their prey? ||| What are other similar plants from its native area? ||| How do populations of predators and prey relate? ||| Why would the roles reverse? ||| How does the relationship influence biodiversity? ||| What are examples of these predators? |||| Reformulation: 
0,Which is the biggest commercial plane?,Query: Which is the biggest commercial plane? |||| Context:  |||| Reformulation: 
1,What are the operational costs of the Airbus A380?,Query: What are its operational costs? |||| Context: Which is the biggest commercial plane? |||| Reformulation: 
2,How does the Airbus A380 fuel consumption compare to its competitors?,Query: How does its fuel consumption compare to its competitors? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? |||| Reformulation: 
3,How do the freighter versions of the Airbus A380 and Boeing 747 compare to each other?,Query: How do the freighter versions compare to each other? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? ||| How does its fuel consumption compare to its competitors? |||| Reformulation: 
4,Why did the Airbus A380 stop being produced?,Query: Why did the A380 stop being produced? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? ||| How does its fuel consumption compare to its competitors? ||| How do the freighter versions compare to each other? |||| Reformulation: 
5,What was Boeing's response to compete with the Airbus A380?,Query: What was Boeing's response to compete with it? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? ||| How does its fuel consumption compare to its competitors? ||| How do the freighter versions compare to each other? ||| Why did the A380 stop being produced? |||| Reformulation: 
6,What is the newest version of the Boeing 777 and what is better about it?,Query: What is the newest version and what is better about it? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? ||| How does its fuel consumption compare to its competitors? ||| How do the freighter versions compare to each other? ||| Why did the A380 stop being produced? ||| What was Boeing's response to compete with it? |||| Reformulation: 
7,What are the differences between the Boeing 777X-8 and 777X-9?,Query: What are the differences between the variants? |||| Context: Which is the biggest commercial plane? ||| What are its operational costs? ||| How does its fuel consumption compare to its competitors? ||| How do the freighter versions compare to each other? ||| Why did the A380 stop being produced? ||| What was Boeing's response to compete with it? ||| What is the newest version and what is better about it? |||| Reformulation: 
0,What is the purpose of the General Data Protection Regulation (GDPR)?,Query: What is the purpose of GDPR? |||| Context:  |||| Reformulation: 
1,What is different between General Data Protection Regulation (GDPR) and European Union (EU) Data Protection Directive 95/46/EC?,Query: What is different compared to previous legislation? |||| Context: What is the purpose of GDPR? |||| Reformulation: 
2,What are the privacy implications of social networks and cloud computing?,Query: What are the privacy implications of those technologies? |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? |||| Reformulation: 
3,"Oh, Internet Protocol (IP) addresses are considered Personally Identifying Information (PII)? What is the full range of personal data defined in the General Data Protection Regulation (GDPR)?","Query: Oh, IP addresses are considered PII? What is the full range of personal data? |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? ||| What are the privacy implications of those technologies? |||| Reformulation: "
4,How do big companies in the United States (US) adapt to the General Data Protection Regulation (GDPR)?,"Query: How do big companies adapt to GDPR? |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? ||| What are the privacy implications of those technologies? ||| Oh, IP addresses are considered PII? What is the full range of personal data? |||| Reformulation: "
5,OK. Tell me about the privacy issues in social networks.,"Query: OK. Tell me about the privacy issues in social networks. |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? ||| What are the privacy implications of those technologies? ||| Oh, IP addresses are considered PII? What is the full range of personal data? ||| How do big companies adapt to GDPR? |||| Reformulation: "
6,What do users of social networks get in return for by giving up their privacy?,"Query: What do they get in return for their privacy? |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? ||| What are the privacy implications of those technologies? ||| Oh, IP addresses are considered PII? What is the full range of personal data? ||| How do big companies adapt to GDPR? ||| OK. Tell me about the privacy issues in social networks. |||| Reformulation: "
7,What are the symptoms of social network addiction?,"Query: What are the symptoms of that addiction? |||| Context: What is the purpose of GDPR? ||| What is different compared to previous legislation? ||| What are the privacy implications of those technologies? ||| Oh, IP addresses are considered PII? What is the full range of personal data? ||| How do big companies adapt to GDPR? ||| OK. Tell me about the privacy issues in social networks. ||| What do they get in return for their privacy? |||| Reformulation: "
0,Do shoulder braces help recover from an injury?,Query: Do shoulder braces help recover from an injury? |||| Context:  |||| Reformulation: 
1,Tell me more about some shoulder exercises that could help recovery from an injury.,Query: Tell me more about some exercises that could help. |||| Context: Do shoulder braces help recover from an injury? |||| Reformulation: 
2,What are other exercises besides Pendulum circles for shoulder injuries?,Query: What are some others? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. |||| Reformulation: 
3,How do I know if my shoulder pain is serious?,Query: How do I know if it's serious? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. ||| What are some others? |||| Reformulation: 
4,When should you consider shoulder surgery?,Query: When should you consider surgery? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. ||| What are some others? ||| How do I know if it's serious? |||| Reformulation: 
5,That seems extreme. What are other ways to treat shoulder pain?,Query: That seems extreme. What are other ways to treat the pain? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. ||| What are some others? ||| How do I know if it's serious? ||| When should you consider surgery? |||| Reformulation: 
6,How do I stop my shoulder from hurting at my desk?,Query: How do I stop it from hurting at my desk? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. ||| What are some others? ||| How do I know if it's serious? ||| When should you consider surgery? ||| That seems extreme. What are other ways to treat the pain? |||| Reformulation: 
7,What are the benefits of a standing desk for shoulder pain?,Query: What are the benefits of a standing one? |||| Context: Do shoulder braces help recover from an injury? ||| Tell me more about some exercises that could help. ||| What are some others? ||| How do I know if it's serious? ||| When should you consider surgery? ||| That seems extreme. What are other ways to treat the pain? ||| How do I stop it from hurting at my desk? |||| Reformulation: 
0,Tell me about purchasing a Burger King franchise.,Query: Tell me about purchasing a Burger King franchise. |||| Context:  |||| Reformulation: 
1,"No, not information about Burger King's acquisition. I want to know how to open a Burger King franchise.","Query: No, not information about its acquisition. I want to know how to open a franchise. |||| Context: Tell me about purchasing a Burger King franchise. |||| Reformulation: "
2,Is there any financial support for the initial franchise fee of a Burger King restaurant franchise?,"Query: Is there any financial support for the fee? |||| Context: Tell me about purchasing a Burger King franchise. ||| No, not information about its acquisition. I want to know how to open a franchise. |||| Reformulation: "
3,How much does a Burger King franchise owner typically make?,"Query: How much does an owner typically make? |||| Context: Tell me about purchasing a Burger King franchise. ||| No, not information about its acquisition. I want to know how to open a franchise. ||| Is there any financial support for the fee? |||| Reformulation: "
4,Is it better to be a Burger King franchisee or an independent restaurant owner?,"Query: Is it better to be a franchise or independent? |||| Context: Tell me about purchasing a Burger King franchise. ||| No, not information about its acquisition. I want to know how to open a franchise. ||| Is there any financial support for the fee? ||| How much does an owner typically make? |||| Reformulation: "
5,What support does the franchise provide?,"Query: What support does it provide? |||| Context: Tell me about purchasing a Burger King franchise. ||| No, not information about its acquisition. I want to know how to open a franchise. ||| Is there any financial support for the fee? ||| How much does an owner typically make? ||| Is it better to be a franchise or independent? |||| Reformulation: "
6,OK let's do it. What is the process of buying a Burger King franchise?,"Query: OK let's do it. What is the process? |||| Context: Tell me about purchasing a Burger King franchise. ||| No, not information about its acquisition. I want to know how to open a franchise. ||| Is there any financial support for the fee? ||| How much does an owner typically make? ||| Is it better to be a franchise or independent? ||| What support does it provide? |||| Reformulation: "
0,How did snowboarding begin?,Query: How did snowboarding begin? |||| Context:  |||| Reformulation: 
1,Interesting. That's later than I expected. Who were the winners of snowboarding events in the 1998 Winter Olympics?,Query: Interesting. That's later than I expected. Who were the winners? |||| Context: How did snowboarding begin? |||| Reformulation: 
2,What are strap-in snowboard bindings?,Query: What are strap-in bindings? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? |||| Reformulation: 
3,What's an alternative to the strap-in binding style for snowboarding?,Query: What's an alternative to this binding style? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? ||| What are strap-in bindings? |||| Reformulation: 
4,What else besides bindings do I need for my first time snowboarding?,Query: What else do I need for my first time? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? ||| What are strap-in bindings? ||| What's an alternative to this binding style? |||| Reformulation: 
5,How can I teach myself to get started snowboarding?,Query: How can I teach myself to get started? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? ||| What are strap-in bindings? ||| What's an alternative to this binding style? ||| What else do I need for my first time? |||| Reformulation: 
6,What are the best snowboarding slopes for beginners around Seattle?,Query: What are the best slopes in Seattle? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? ||| What are strap-in bindings? ||| What's an alternative to this binding style? ||| What else do I need for my first time? ||| How can I teach myself to get started? |||| Reformulation: 
7,What are other things to do at Mount Bachelor Ski & Sports,Query: What are other things to do at Bachelor? |||| Context: How did snowboarding begin? ||| Interesting. That's later than I expected. Who were the winners? ||| What are strap-in bindings? ||| What's an alternative to this binding style? ||| What else do I need for my first time? ||| How can I teach myself to get started? ||| What are the best slopes in Seattle? |||| Reformulation: 
0,How are waste and garbage processed?,Query: How are waste and garbage processed? |||| Context:  |||| Reformulation: 
1,Interesting. What is the impact of burning waste and garbage on the environment?,Query: Interesting. What is the impact of burning on the environment? |||| Context: How are waste and garbage processed? |||| Reformulation: 
2,Why does waste compaction slow the biodegradation of organic waste?,Query: So you can compact them; why does it slow the waste processing? |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? |||| Reformulation: 
3,How is sewage recycled?,Query: How is sewage recycled? |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? ||| So you can compact them; why does it slow the waste processing? |||| Reformulation: 
4,What are the pros and cons of recycling vs composting garbage?,Query: What are the pros and cons of recycling vs composting? |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? ||| So you can compact them; why does it slow the waste processing? ||| How is sewage recycled? |||| Reformulation: 
5,Tell me more about biodegradable plastics.,Query: Tell me more about biodegradable plastics. |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? ||| So you can compact them; why does it slow the waste processing? ||| How is sewage recycled? ||| What are the pros and cons of recycling vs composting? |||| Reformulation: 
6,How are biodegradable plastics made?,Query: How are they made? |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? ||| So you can compact them; why does it slow the waste processing? ||| How is sewage recycled? ||| What are the pros and cons of recycling vs composting? ||| Tell me more about biodegradable plastics. |||| Reformulation: 
7,How is corn oil used to make biodegradable plastics?,Query: How is corn oil used? |||| Context: How are waste and garbage processed? ||| Interesting. What is the impact of burning on the environment? ||| So you can compact them; why does it slow the waste processing? ||| How is sewage recycled? ||| What are the pros and cons of recycling vs composting? ||| Tell me more about biodegradable plastics. ||| How are they made? |||| Reformulation: 
0,How do you make Japanese Yakiniku ?,Query: How do you make Japanese Yakiniku? |||| Context:  |||| Reformulation: 
1,Can the sauce for Yakiniku be used in other dishes?,Query: Can the sauce be used in other dishes? |||| Context: How do you make Japanese Yakiniku? |||| Reformulation: 
2,What are the best Yakiniku restaurants in Tokyo?,Query: What are the best Yakiniku restaurants in Tokyo? |||| Context: How do you make Japanese Yakiniku? ||| Can the sauce be used in other dishes? |||| Reformulation: 
3,Tell me about three star Michelin sushi restaurants in Tokyo.,Query: Tell me about three star Michelin sushi restaurants there. |||| Context: How do you make Japanese Yakiniku? ||| Can the sauce be used in other dishes? ||| What are the best Yakiniku restaurants in Tokyo? |||| Reformulation: 
4,How do I make dinner reservations in Tokyo restaurants?,Query: Oh you need an agent to make reservations? |||| Context: How do you make Japanese Yakiniku? ||| Can the sauce be used in other dishes? ||| What are the best Yakiniku restaurants in Tokyo? ||| Tell me about three star Michelin sushi restaurants there. |||| Reformulation: 
